seg_id;start;end;speaker;transcription;translation
De_Dienst_afl_6_seg_0;0 days 00:00:00;0 days 00:01:10;Bart; Hoi Elisabeth. Ja, je vraagt je natuurlijk af waarom ik je gebeld heb. Ja, dat kan niet veel goed betekenen. We hebben de Amstelbericht natuurlijk uitgebracht. Dus het is heel fijn dat de politie op dit moment redelijk goed bij is in het hele onderzoek. Maar we hebben informatie. Sander is op een vlucht van Tunis naar Amsterdam. Officier van Justitie heeft helaas besloten, er kan ik voor een groot deel in meegaan, maar hij heeft besloten dat er op dit moment onvoldoende bewijs is om Sander meteen bij aankomst op Schiphol te laten arresteren. Marge C. die vangt hem op. Ja, ik maak nu twee aanhalingstekens. Maar ze vangen hem op in de zin dat zij vanaf de gate hem eigenlijk gaan volgen zonder dat hij dat door heeft. En er staat op dit moment een observatieteam van de politie klaar om hem zo goed mogelijk te observeren. En het is nu zaak om hem niet meer uit het oog te verliezen en te hopen dat hij zoveel mogelijk gaat prijsgeven in de periode dat hij hier is. Dus hij is teruggekomen? Hij is teruggekomen.; Hi Elisabeth. Yes, of course you are wondering why I called you. Yes, that doesn't mean much. We have of course issued an emergency message. So it is very nice that the police are doing quite well at the moment in the entire investigation. But we have information. Sander is on a flight from Tunis to Amsterdam. The justice officer has unfortunately decided, and I can agree with that for a large part, but he has decided that there is insufficient evidence at the moment to arrest Sander at the arrival at Schiphol. Marsha C. catches him. Yes, I am now making two notes, but they catch him in the sense that they are actually going to follow him from the gate without him noticing it. And there is currently an observation team of the police ready to observe him as well as possible. It is now a matter of not losing sight of him and hoping that he will reward him as much as possible in the period that he is here. So he has returned.
De_Dienst_afl_6_seg_1;0 days 00:01:28;0 days 00:01:48;Liesbeth; Je luistert naar de laatste aflevering van De Dienst, een podcast van de AIVD. Na alle informatie van de afgelopen weken zijn we er bijna. De zaak Sander komt tot een climax. Hiervoor sprak ik mensen die vooral op kantoor zitten, maar wie zijn de mensen in het veld die bijvoorbeeld onze hack mogelijk hebben gemaakt? Wie plaatst de verborgen microfoons?; He has returned. You are listening to the last episode of The Dienst, a podcast from the AIVD. After all the information from the past few weeks, we are almost there. Sander's case is coming to a climax. I have previously spoken to people who are mainly in the office. But who are the people in the field who, for example, have made our fence possible? Who places the hidden microphones?
De_Dienst_afl_6_seg_2;0 days 00:01:49;0 days 00:02:02;Harry; De eerste keer dat je zoiets doet, dan is het ook echt te hetenspannend en saai je met dat paspoort. En dan kijk je nog twaalf keer naar wie was ik ook alweer, weet ik nog, geboorte daten of al hetzelfde. Dat bent.; The first time you do something like that, it is also really exciting. It is boring with that passport. And then you look at it 12 more times. Who was it again? I don't know. My birth date and all that. That runs.
De_Dienst_afl_6_seg_3;0 days 00:02:16;0 days 00:02:23;Liesbeth; Sander keert dus terug naar Nederland. En daarmee is het belangrijker dan ooit dat we hem niet meer uit het oog verliezen. Hoe gaan we dat doen?; My name is Lies Petrasker. Welcome to The Dienst. Sander is returning to the Netherlands. And with that, it is more important than ever that we no longer lose sight of him.
De_Dienst_afl_6_seg_4;0 days 00:02:24;0 days 00:02:26;Bart; Wij zitten natuurlijk niet meer op de eerste rang op dit moment.; How are we going to do that? Of course, we are no longer in the first place at the moment.
De_Dienst_afl_6_seg_5;0 days 00:02:27;0 days 00:02:28;Liesbeth; De politie zit op de eerste rang.; No, the police are in the first place.
De_Dienst_afl_6_seg_6;0 days 00:02:29;0 days 00:02:43;Bart; Wij gaan door met ons onderzoek, maar wij moeten ervoor zorgen dat we de politie niet in de wielen rijden met hun eigen onderzoek. De politie moet nu gewoon in staat worden gesteld om de aanslag te kunnen voorkomen en dan zo'n goed mogelijke strafzaak op poten te zetten.; The police are in the first place. We continue with our investigation. But we have to make sure that we do not drive the police in the wheels with their own investigation. The police now just have to be able to prevent the attack. And to set up as many criminal cases as possible.
De_Dienst_afl_6_seg_7;0 days 00:02:44;0 days 00:02:48;Liesbeth; Ja, maar Sander loopt nu wel rond met dit plan in Nederland.; Yes, but Sander is now walking around with this plan in the Netherlands.
De_Dienst_afl_6_seg_8;0 days 00:02:49;0 days 00:03:07;Bart; Ja, en de politie heeft een vrij goede positie opgebouwd, gaat hem 24-7 onder controle houden. In de hoop dat hij zoveel mogelijk laat zien van zijn netwerk en van de mogelijkheden die hij heeft om een aanslag te gaan plegen. Zodat er een gewoon sterke zaak staat.; Yes. Yes, and the police have set up a pretty good position. He is going to keep 24-7 under control. In the hope that he shows as much of his network as possible. And of the opportunities he has to start a strike. Yes.
De_Dienst_afl_6_seg_9;0 days 00:03:07;0 days 00:03:23;Liesbeth; Ik kan me voorstellen dat als zo'n zaak op dit punt komt, zeker als het om een echte zaak zou gaan, dat de spanning op jouw werkvloer dan wel flink begint op te lopen. Ja, die spanning begint enorm op te lopen.; So that there is a strong case. I can imagine that if a case like this comes to this point. Yes. Especially if it were a real case. Yes. That the tension on your work surface is starting to rise.
