sep=;
;seg_id;start;end;speaker;transcription;translation;DI;label
0;De_Dienst_afl_1_seg_0;0 days 00:00:00;0 days 00:00:21;Bart; De eerste keer dat ik een telefoon tap, dat ik dat hoorde, dat ik een gesprek mocht afluisteren. Ja. Vond ik echt schokkend. Ik dacht van hé, ik zit gewoon nu een gesprek af te luisteren wat andere mensen nu met elkaar aan het houden zijn. En ik ben aan het meeluisteren en dat vond ik echt heel raar.; The first time I heard a phone call, that I could listen to a conversation, I was really shocked. I thought, hey, I'm just listening to a conversation that other people are now having with each other. And I'm listening along and I thought that was really weird.;;
1;De_Dienst_afl_1_seg_1;0 days 00:00:30;0 days 00:01:11;Liesbeth; Zoals vrijwel iedereen in Nederland ben ik ontzettend nieuwsgierig naar wat geheime diensten nou eigenlijk doen. Want we kennen natuurlijk allemaal de spannende series vol Indianenverhalen over spionnen en hackers. Maar wat is daar nou eigenlijk allemaal van waar? Goeiedag. Goeiedag, Liespe Trasker hier. Dus toen de AIVD mij benaderde of ik een podcast voor ze wilde maken, twijfelde ik geen moment. Ja. Dit heeft u niet opgenomen. Maar we hebben afgesproken dat we het stukje waarin jij zegt dat ik mijn studenten in een bakje moet doen zouden dat opgenomen. In de komende zes afleveringen mag ik vragen stellen aan de dienst die eigenlijk liever zelf de vragen stelt. En ga ik meemaken hoe het is om hier te werken.; Like almost everyone in the Netherlands, I am very curious about what secret services actually do. Because of course we all know the exciting series full of Indian stories about spies and hackers. But what is actually true of all of that? Good day. Good day, Liesbeth Rasker here. So when the AIVD approached me to make a podcast for them, I had no doubt. Yes. Yes, he didn't record this. But we have agreed that the part in which you say that I have to put my stuff in a box, he should record that. In the next six episodes, I may ask questions to the service that actually prefers to ask the same questions. And I will experience how it is to work here.;;
2;De_Dienst_afl_1_seg_2;0 days 00:01:11;0 days 00:01:25;Bart; Er is een melding binnengekomen. Tijdens een practicum is hem opgevallen dat een student nogal wat vragen heeft gesteld over stoffen die gebruikt kunnen worden om een explosief mee te maken.; A message has arrived. During a practice, it was noticed that a student has asked some more questions about substances that can be used to make an explosive.;;
3;De_Dienst_afl_1_seg_3;0 days 00:01:27;0 days 00:01:43;Liesbeth; Je hoort de stem van Bart. Hij is teamhoofd binnen de AIVD. Iedereen die bij de AIVD is aangenomen, doorloopt een case om aan hun lijven te ondervinden hoe het er hier aan toe gaat. En ik dus ook. Bart gaat me hierbij helpen. Ik ben wel een klein beetje zenuwachtig.; You can hear Bart's voice. He is head of the AIVD. Everyone who is admitted to the AIVD, passes a case to find out how things are going on here. And so do I. Bart is going to help me here. I'm a little bit nervous, I can tell you.;;
4;De_Dienst_afl_1_seg_4;0 days 00:01:43;0 days 00:01:44;Bart; Kan ik je vertellen?; I find it all quite exciting.;;
5;De_Dienst_afl_1_seg_5;0 days 00:01:44;0 days 00:01:48;Liesbeth; Ik vind het toch best spannend allemaal. Maar jij gaat mij begeleiden in de proces.; But you are going to guide me in the process.;;
6;De_Dienst_afl_1_seg_6;0 days 00:01:48;0 days 00:01:50;Bart; Ik ga je volledig begeleiden in het proces.; I will completely guide you in the process.;;
7;De_Dienst_afl_1_seg_7;0 days 00:01:50;0 days 00:02:41;Liesbeth; Op dit moment weet ik net zoveel of beter, net zo weinig, als jij over wat me in deze case te wachten staat. Mijn naam is Liesbeth Rasker. Welkom bij De Dienst. Nou, daar zit ik dan, binnen bij de AIVD. Het is een heel erg groot grijs gebouw waar je makkelijk verdwaalt en waar alle ramen afgesloten zijn. Je kunt van buiten dus nergens naar binnen kijken en andersom. Ik heb mijn telefoon en laptop moeten inleveren en zit dus nu heel ouderwets met pen, papier en koffie klaar voor mijn eerste dag. Straks ga ik te horen krijgen wat de case inhoudt. Maar voordat we daar gaan beginnen is het wel zo handig om even te weten wat de AIVD nu eigenlijk doet. Ik vraag het aan Bart.; At the moment, I know just as much, or better, just as little, as you do about what awaits me in this case. My name is Liesbeth Rasker. Welcome to De Dienst. Well, there I am, inside the AIVD. It is a very large gray building where you easily get lost and where all windows are closed. So you can't look inside from the outside, and vice versa. I had to deliver my phone and laptop. And so now I am very old-fashioned, with pen, paper and coffee, ready for my first day. Soon I will hear what the case contains. But before we start there, it is convenient to know what the AIVD actually does. I ask Bart.;;
8;De_Dienst_afl_1_seg_8;0 days 00:02:41;0 days 00:03:09;Bart; De AIVD is de Algemene Inlichting- en Veiligheidsdienst. En wij vallen onder het ministerie van Binnenlandse Zaken. En ja, wij doen onderzoek naar alle mogelijke dreigingen ten opzichte van de nationale veiligheid. Nationale veiligheid is een beetje een containerbegrip, maar er valt bijvoorbeeld het functioneren van de democratische rechtsorde onder. Staatsveiligheid, maar ook allerlei andere gewichtige belangen van de staat. Kortom, we zijn een geheime dienst.; The AIVD is the General Intelligence and Security Service. We fall under the Ministry of Internal Affairs. We do research on all possible threats in relation to national security. National security is a bit of a container term, but for example, the functioning of the democratic law falls under it. State security, but also all kinds of other important interests of the state. In short, we are a secret service.;;
9;De_Dienst_afl_1_seg_9;0 days 00:03:09;0 days 00:03:14;Liesbeth; En kan ik het dan een beetje vergelijken met de immens populaire serie Homeland?; Can I compare it a bit with the immensely popular series Homeland?;;
