;seg_id;start;end;speaker;transcription;translation;DI;label
0;De_Dienst_afl_3_seg_0;0 days 00:00:00;0 days 00:00:05.160000;Andrea; Ik heb eens een kwartier lang naast een target gezeten in een wachtruimte.; I was sitting next to his target for a quarter of an hour in a waiting room.;;
1;De_Dienst_afl_3_seg_1;0 days 00:00:05.160000;0 days 00:00:30.880000;Mixed; En we hebben elkaar keurige dag gezegd en ik zat echt naast hem en ik dacht jij moest eens weten wat ik van jou weet en jij weet niets van mij. Wat doe je als je het vermoeden hebt dat iemand een gevaar kan zijn?; Oh yes. And we said nice things to each other. And I was really next to him. And I thought you had to know what I know about you. And you know nothing about me. What do you do when you suspect that someone can be a danger? And how is it to keep an eye on a target for a long time? I can look inside the AIVD, the service that normally keeps the doors closed.;;
2;De_Dienst_afl_3_seg_2;0 days 00:00:30.880000;0 days 00:00:47.480000;Liesbeth; En hoe is het om een target langdurig in de gaten te houden? Ik mag binnenkijken bij de AIVD, de dienst die normaal de deuren gesloten houdt en vandaag is mijn derde dag als bewerker. Ik ga verder met het onderzoek naar Sander en hoop mensen te spreken die me dichter bij; And today is my third day as a contractor. I continue my research with Sander and hope to speak to people who may be interested in the AIVD. And I hope to speak to people who may be interested in the AIVD. I continue my research with Sander and hope to speak to people who may be interested in the AIVD.;;
3;De_Dienst_afl_3_seg_3;0 days 00:00:47.600000;0 days 00:00:55.280000;Andrea; hem gaan brengen. Ik luister naar iemand's stem. Als ik een paar weken naar iemand geluisterd heb dan ken ik hem echt wel heel aardig.; I listen to someone's voice. If I have listened to someone for a few weeks, I know them very well.;;
4;De_Dienst_afl_3_seg_4;0 days 00:00:55.280000;0 days 00:01:00.160000;Liesbeth; Wat voor een persoon is het? Zijn de losse puzzelstukjes iets om ons zorgen over te maken?; What kind of person is it? Are the loose pieces of puzzle something to make us worry about?;;
5;De_Dienst_afl_3_seg_5;0 days 00:01:00.160000;0 days 00:01:09.560000;Marja; Op dat filmpje is een jonge man te zien en die roept naar de omstanders. We gaan de oorlog terugbrengen naar de ongelovigen en we brengen de oorlog terug naar Nederland.; In that video you can see a young man who calls out to the circumstances. We are going to bring the war back to the unbelievers. And we are going to bring the war back to the Netherlands.;;
6;De_Dienst_afl_3_seg_6;0 days 00:01:09.560000;0 days 00:01:40.040000;Liesbeth; Mijn naam is Lies Petrasker. Je luistert naar de derde aflevering van De Dienst. Dag 3, het voelt al bijna als routine om de bus en trein naar Zoetermeer te pakken. En toen ik gisteren naar huis ging zag ik Bart bij diezelfde bushalte staan. Opeens vroeg ik me af, mag ik hem eigenlijk gedag zeggen als we elkaar buiten tegenkomen?; My name is Lies Petrasker. You are listening to the third episode of De Dienst. Day 3. It almost feels like a routine to take the bus and train to Zoetermeer. And when I went home yesterday, I saw Bart at the same bus stop. Suddenly I ask myself, can I say my thoughts when we meet outside?;;
7;De_Dienst_afl_3_seg_7;0 days 00:01:41;0 days 00:02:16.360000;Bart; Ik vind een compleet normaal en natuurlijk gedrag. Ik ben zelf ook niet operationeel. Ik zit wel in een inlichtingenteam natuurlijk. Maar ik ben daar niet bezig om iemand te observeren of dat ik daar met een bron rondloop. Ik ben vaak wel op mijn hoede om collega's in het wild te gaan groeten. Zeker als ik weet dat het bijvoorbeeld een acquisiteur is omdat ik hem niet wil storen tijdens werk. Mocht iemand aan het werk zijn, dan ben ik wel tuurhoudend in. Maar zoals bij de bushalte, daar gebeurt niks operationeels.; Yes, I think it's completely normal and natural behavior. Of course, I myself am not operational. I mean, I'm in a lighting team, of course. But I'm not there to observe someone. Or that I'm walking around with a source or whatever. I'm often on my guard to greet colleagues in the wild. Especially when I know it's an acquisition. Because I don't want to disturb it during work. If someone is at work. So I'm back in it. But like at the bus stop, nothing happens operationally.;;
8;De_Dienst_afl_3_seg_8;0 days 00:02:16.360000;0 days 00:02:20.920000;Liesbeth; Dus ik heb daar geen probleem mee. Maar als ik Andrea tegen zou komen, dan kan ik haar beter geen gedrag zeggen?; So I don't have a problem with that. But if I met Andrea, I'd better not tell her my thoughts.;;
9;De_Dienst_afl_3_seg_9;0 days 00:02:20.920000;0 days 00:02:22.040000;Bart; Nee, dat zou ik niet doen.; No, I wouldn't do that.;;
10;De_Dienst_afl_3_seg_10;0 days 00:02:25.960000;0 days 00:02:32.200000;Liesbeth; Maar alles leuk en aardig. Gisteren kreeg ik een voicemail van Bart dat er een ISIS-vlag was gezien. En dat is nogal wat.; But everything is fun and nice. Yesterday I got a voicemail from Bart that there was an ISIS flag seen. And that's still something.;;
11;De_Dienst_afl_3_seg_11;0 days 00:02:33.160000;0 days 00:02:49.480000;Bart; Het is in ieder geval iets waarvan ik niet zeg dat dit nou een smoking gun is. Dat doen we sowieso niet zoveel mee met smoking guns binnen het dienst. Maar dit is in ieder geval niet het doorslaggevende feit. Maar wel iets waarvan je denkt, hier krijg ik toch wel een beetje zorgen van.; Well, yes, it's still something. In any case, it's something I don't say. This is a smoking gun. We don't do that so much with smoking guns in service. But this is in any case not the prevailing fact. But something that makes you think, oh, I'm getting a little worried about this.;DI05;(2,)
12;De_Dienst_afl_3_seg_12;0 days 00:02:51.480000;0 days 00:02:53.960000;Liesbeth; Want waar was die vlag gezien of gevonden?; Because where was that flag seen or found?;DI05;(4,)
13;De_Dienst_afl_3_seg_13;0 days 00:02:53.960000;0 days 00:03:34.840000;Bart; Ik kan niet alles vertellen over de telefoon, want je weet niet wie er mee luistert. Dus ik probeer dat ook een beetje beperkt te houden, wat ik zeg. Maar ik wou in ieder geval even aangeven dat er in ieder geval wel een element is waarvan ik denk, hier maak ik me wel een beetje zorgen om. Die docent heeft een glimp opgevangen van een ISIS-vlag op de telefoon, de screensaver van Sander. Dat betekent niet dat iemand daadwerkelijk ook een lid is van ISIS of een sympathisant of wat dan ook. Je kan ook gewoon een beetje vervelend doen en een beetje provoceren. Maar ja, het telt een beetje op in datgene wat je gezien hebt.; Well, that's an element. I can't tell you everything about the phone. Because you don't know who's listening. So I'm trying to keep that a bit limited. But I wanted to point out that there is an element that makes me a little worried. The teacher caught a glimpse of an ISIS flag on the phone. The screensaver of Sander. That doesn't mean that someone is actually a member of ISIS. Or a sympathizer or whatever. You can also just do something a bit annoying and provoke a bit. But yes, it counts a bit in what you've seen.;DI05;(1, 2)
14;De_Dienst_afl_3_seg_14;0 days 00:03:36.440000;0 days 00:03:43.480000;Liesbeth; Daarnaast hebben we Andrea op pad gestuurd om te praten met zijn docent en zijn huisgenoot Linda. Wat hebben die gesprekken opgeleverd?; After that, we sent Andrea on the road to talk to his teacher and his roommate Linda. What did those conversations deliver?;DI05;(1, 4)
